Date,CO,CO_percent,NO2,NO2_percent,Ozone,PM2.5,Number,AQI_Category,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all
2021-11-06,24,100.0,23.0,96.0,30.0,19.0,1.0,Good,287.195,285.0308333333333,286.93125000000003,286.2945833333333,287.99125,1019.4166666666666,87.16666666666667,1.5904166666666668,268.8333333333333,2.235,,,,,88.5
2021-11-06,23,96.0,23.0,96.0,30.0,19.0,1.0,Good,287.195,285.0308333333333,286.93125000000003,286.2945833333333,287.99125,1019.4166666666666,87.16666666666667,1.5904166666666668,268.8333333333333,2.235,,,,,88.5
2021-11-07,23,96.0,23.0,96.0,31.0,19.0,1.0,Good,286.2141666666667,280.9683333333333,285.17833333333334,285.4025,287.0254166666667,1022.125,71.0,2.8883333333333336,285.7083333333333,2.764545454545454,,,,,37.958333333333336
2021-11-07,24,100.0,23.0,96.0,31.0,19.0,1.0,Good,286.2141666666667,280.9683333333333,285.17833333333334,285.4025,287.0254166666667,1022.125,71.0,2.8883333333333336,285.7083333333333,2.764545454545454,,,,,37.958333333333336
2021-11-08,23,96.0,23.0,96.0,35.0,24.0,1.0,Good,284.97625,279.8595833333333,283.97208333333333,283.98833333333334,285.91291666666666,1019.3333333333334,73.0,1.9295833333333332,181.54166666666663,2.35,,,,,63.66666666666666
2021-11-08,24,100.0,23.0,96.0,35.0,24.0,1.0,Good,284.97625,279.8595833333333,283.97208333333333,283.98833333333334,285.91291666666666,1019.3333333333334,73.0,1.9295833333333332,181.54166666666663,2.35,,,,,63.66666666666666
2021-11-09,23,96.0,18.0,75.0,31.0,20.0,1.0,Good,287.6020833333333,284.285,287.24833333333333,286.94083333333333,288.3220833333333,1017.3333333333334,82.16666666666667,1.5708333333333335,152.625,3.1055,1.0957142857142856,,,,94.20833333333331
2021-11-09,24,100.0,18.0,75.0,31.0,20.0,1.0,Good,287.6020833333333,284.285,287.24833333333333,286.94083333333333,288.3220833333333,1017.3333333333334,82.16666666666667,1.5708333333333335,152.625,3.1055,1.0957142857142856,,,,94.20833333333331
2021-11-10,18,75.0,23.0,96.0,,25.0,1.0,Good,287.4216666666667,285.96375,287.2975,286.86,287.98875,1025.4166666666667,91.625,1.1741666666666666,277.1666666666667,1.5633333333333337,0.25,,,,66.91666666666667
2021-11-10,15,63.0,23.0,96.0,,25.0,1.0,Good,287.4216666666667,285.96375,287.2975,286.86,287.98875,1025.4166666666667,91.625,1.1741666666666666,277.1666666666667,1.5633333333333337,0.25,,,,66.91666666666667
