date_local,CO,CO_percent,NO2,NO2_percent,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,OZONE,PM2.5,Number,Category_Name,Ozone,AQI_Category
2015-02-12,24.0,100.0,23.0,96.0,286.9508333333333,284.13166666666666,286.3595833333333,286.17291666666665,287.7275,1021.25,83.91666666666667,3.060833333333333,42.458333333333336,,,,,,87.58333333333333,19.0,51.0,1.5,Good,,
2015-02-13,23.0,96.0,23.0,96.0,287.42541666666665,285.14,287.1516666666667,286.4945833333333,288.25791666666663,1019.7916666666666,87.0,2.244166666666666,55.458333333333336,,,,,,77.5,21.0,56.0,1.5,Good,,
2015-02-14,24.0,100.0,23.0,96.0,288.27916666666664,286.06333333333333,288.1345833333333,287.5,288.99208333333337,1018.7083333333334,87.5,1.65125,174.95833333333334,,,,,,51.54166666666666,21.0,59.0,1.5,Good,,
2015-02-15,23.0,96.0,23.0,96.0,288.9475,285.74375000000003,288.7341666666667,288.1095833333333,289.7583333333333,1016.8333333333334,82.375,1.8404166666666668,100.95833333333331,,,,,,37.458333333333336,23.0,54.0,1.5,Good,,
2015-02-16,24.0,100.0,23.0,96.0,288.10375,286.04625,287.9166666666667,287.25208333333336,288.9554166666667,1015.2916666666666,88.375,1.4008333333333332,191.58333333333337,,,,,,50.583333333333336,36.0,57.0,1.5,Good,,
2015-02-17,22.0,92.0,22.0,92.0,286.4279166666667,285.13375,286.2183333333333,285.91416666666663,287.0420833333333,1018.0833333333334,92.16666666666669,2.402083333333333,239.45833333333337,,,,,,91.625,37.0,55.0,1.5,Good,,
2015-02-18,23.0,96.0,23.0,96.0,286.38916666666665,284.0266666666667,286.0058333333333,285.65916666666664,287.25708333333336,1021.8333333333334,85.66666666666667,1.555,269.3333333333333,,,,,,55.04166666666666,25.0,51.0,1.5,Moderate,,
2015-02-19,23.0,96.0,23.0,96.0,285.9870833333334,284.79875,285.7495833333333,285.41041666666666,286.5416666666667,1020.7083333333334,92.75,1.46875,247.41666666666663,,,,,,83.75,22.0,55.0,1.5,Good,,
2015-02-20,23.0,96.0,23.0,96.0,286.6454166666667,285.3675,286.4629166666667,286.09083333333336,287.2708333333333,1017.9166666666666,92.41666666666669,1.5254166666666666,202.16666666666663,,,,,,59.0,15.0,59.0,1.5,Good,,
2015-02-21,24.0,100.0,23.0,96.0,286.49125,284.80833333333334,286.2608333333333,285.8341666666667,287.0625,1014.125,90.33333333333331,1.7458333333333331,199.54166666666663,,,,,,53.41666666666666,31.0,53.0,1.5,Good,,
