date_local,CO,CO_percent,NO2,NO2_percent
2015-11-11,23.0,96.0,23.0,96.0
2015-11-12,24.0,100.0,23.0,96.0
2015-11-13,24.0,100.0,23.0,96.0
2015-11-14,24.0,100.0,23.0,96.0
2015-11-15,24.0,100.0,23.0,96.0
2015-11-16,24.0,100.0,23.0,96.0
2015-11-17,17.0,71.0,17.0,71.0
2015-11-18,23.0,96.0,23.0,96.0
2015-11-19,24.0,100.0,22.0,92.0
2015-11-20,24.0,100.0,23.0,96.0
2015-11-21,24.0,100.0,23.0,96.0
2015-11-22,24.0,100.0,23.0,96.0
2015-11-23,23.0,96.0,23.0,96.0
2015-11-24,22.0,92.0,22.0,92.0
2015-11-25,23.0,96.0,23.0,96.0
2015-11-26,24.0,100.0,23.0,96.0
2015-11-27,24.0,100.0,23.0,96.0
2015-11-28,24.0,100.0,23.0,96.0
2015-11-29,23.0,96.0,23.0,96.0
2015-11-30,23.0,96.0,23.0,96.0
2015-12-01,24.0,100.0,23.0,96.0
2015-12-02,23.0,96.0,23.0,96.0
2015-12-03,24.0,100.0,23.0,96.0
2015-12-04,24.0,100.0,23.0,96.0
2015-12-05,24.0,100.0,23.0,96.0
2015-12-06,24.0,100.0,23.0,96.0
2015-12-07,23.0,96.0,23.0,96.0
2015-12-08,24.0,100.0,23.0,96.0
2015-12-09,23.0,96.0,23.0,96.0
2015-12-10,23.0,96.0,23.0,96.0
2015-12-11,24.0,100.0,23.0,96.0
2015-12-12,24.0,100.0,23.0,96.0
2015-12-13,23.0,96.0,23.0,96.0
2015-12-14,23.0,96.0,23.0,96.0
2015-12-15,23.0,96.0,17.0,71.0
2015-12-16,24.0,100.0,22.0,92.0
2015-12-17,24.0,100.0,23.0,96.0
2015-12-18,24.0,100.0,23.0,96.0
2015-12-19,23.0,96.0,23.0,96.0
2015-12-20,24.0,100.0,23.0,96.0
2015-12-21,23.0,96.0,23.0,96.0
2015-12-22,23.0,96.0,23.0,96.0
2015-12-23,24.0,100.0,23.0,96.0
2015-12-24,24.0,100.0,23.0,96.0
2015-12-25,23.0,96.0,23.0,96.0
2015-12-26,23.0,96.0,23.0,96.0
2015-12-27,24.0,100.0,23.0,96.0
2015-12-28,23.0,96.0,23.0,96.0
2015-12-29,22.0,92.0,22.0,92.0
2015-12-30,24.0,100.0,23.0,96.0
2015-12-31,23.0,96.0,23.0,96.0
2016-01-01,23.0,96.0,23.0,96.0
2016-01-02,24.0,100.0,23.0,96.0
2016-01-03,23.0,96.0,23.0,96.0
2016-01-04,23.0,96.0,23.0,96.0
2016-01-05,23.0,96.0,23.0,96.0
2016-01-06,24.0,100.0,23.0,96.0
2016-01-07,22.0,92.0,21.0,88.0
2016-01-08,24.0,100.0,23.0,96.0
2016-01-09,23.0,96.0,23.0,96.0
2016-01-10,23.0,96.0,23.0,96.0
2016-01-11,23.0,96.0,23.0,96.0
2016-01-12,24.0,100.0,23.0,96.0
2016-01-13,23.0,96.0,23.0,96.0
2016-01-14,23.0,96.0,23.0,96.0
2016-01-15,24.0,100.0,23.0,96.0
2016-01-16,23.0,96.0,23.0,96.0
2016-01-17,23.0,96.0,23.0,96.0
2016-01-18,23.0,96.0,23.0,96.0
2016-01-19,24.0,100.0,23.0,96.0
2016-01-20,22.0,92.0,22.0,92.0
2016-01-21,22.0,92.0,22.0,92.0
2016-01-22,24.0,100.0,23.0,96.0
2016-01-23,23.0,96.0,23.0,96.0
2016-01-24,23.0,96.0,23.0,96.0
2016-01-25,24.0,100.0,23.0,96.0
2016-01-26,24.0,100.0,23.0,96.0
2016-01-27,23.0,96.0,23.0,96.0
2016-01-28,24.0,100.0,23.0,96.0
2016-01-29,24.0,100.0,23.0,96.0
2016-01-30,23.0,96.0,23.0,96.0
2016-01-31,23.0,96.0,23.0,96.0
2016-02-01,24.0,100.0,23.0,96.0
2016-02-02,22.0,92.0,22.0,92.0
2016-02-03,24.0,100.0,23.0,96.0
2016-02-04,24.0,100.0,23.0,96.0
2016-02-05,24.0,100.0,23.0,96.0
2016-02-06,23.0,96.0,23.0,96.0
2016-02-07,24.0,100.0,23.0,96.0
2016-02-08,23.0,96.0,23.0,96.0
2016-02-09,23.0,96.0,23.0,96.0
2016-02-10,23.0,96.0,23.0,96.0
2016-02-11,23.0,96.0,23.0,96.0
2016-02-12,24.0,100.0,23.0,96.0
2016-02-13,23.0,96.0,23.0,96.0
2016-02-14,23.0,96.0,23.0,96.0
2016-02-15,24.0,100.0,23.0,96.0
2016-02-16,22.0,92.0,22.0,92.0
2016-02-17,23.0,96.0,23.0,96.0
2016-02-18,24.0,100.0,23.0,96.0
2016-02-19,23.0,96.0,23.0,96.0
2016-02-20,23.0,96.0,23.0,96.0
2016-02-21,24.0,100.0,23.0,96.0
2016-02-22,23.0,96.0,23.0,96.0
2016-02-23,22.0,92.0,22.0,92.0
2016-02-24,24.0,100.0,23.0,96.0
2016-02-25,23.0,96.0,23.0,96.0
2016-02-26,23.0,96.0,23.0,96.0
2016-02-27,23.0,96.0,23.0,96.0
2016-02-28,24.0,100.0,23.0,96.0
2016-02-29,19.0,79.0,19.0,79.0
2016-03-01,23.0,96.0,23.0,96.0
2016-03-02,24.0,100.0,23.0,96.0
2016-03-03,21.0,88.0,21.0,88.0
2016-03-04,24.0,100.0,23.0,96.0
2016-03-05,24.0,100.0,23.0,96.0
2016-03-06,23.0,96.0,23.0,96.0
2016-03-07,24.0,100.0,23.0,96.0
2016-03-08,24.0,100.0,23.0,96.0
2016-03-09,24.0,100.0,23.0,96.0
2016-03-10,23.0,96.0,23.0,96.0
2016-03-11,23.0,96.0,23.0,96.0
2016-03-12,23.0,96.0,23.0,96.0
2016-03-13,23.0,96.0,23.0,96.0
2016-03-14,24.0,100.0,23.0,96.0
2016-03-15,23.0,96.0,23.0,96.0
2016-03-16,23.0,96.0,23.0,96.0
2016-03-17,24.0,100.0,21.0,88.0
2016-03-18,24.0,100.0,23.0,96.0
2016-03-19,23.0,96.0,23.0,96.0
2016-03-20,23.0,96.0,23.0,96.0
2016-03-21,24.0,100.0,23.0,96.0
2016-03-22,24.0,100.0,23.0,96.0
2016-03-23,24.0,100.0,23.0,96.0
2016-03-24,21.0,88.0,21.0,88.0
2016-03-25,23.0,96.0,23.0,96.0
2016-03-26,23.0,96.0,23.0,96.0
2016-03-27,23.0,96.0,23.0,96.0
2016-03-28,23.0,96.0,23.0,96.0
2016-03-29,24.0,100.0,23.0,96.0
2016-03-30,24.0,100.0,23.0,96.0
2016-03-31,24.0,100.0,23.0,96.0
2016-04-01,23.0,96.0,23.0,96.0
2016-04-02,23.0,96.0,23.0,96.0
2016-04-03,24.0,100.0,23.0,96.0
2016-04-04,24.0,100.0,23.0,96.0
2016-04-05,23.0,96.0,23.0,96.0
2016-04-06,23.0,96.0,23.0,96.0
2016-04-07,23.0,96.0,23.0,96.0
2016-04-08,23.0,96.0,23.0,96.0
2016-04-09,23.0,96.0,23.0,96.0
2016-04-10,24.0,100.0,23.0,96.0
2016-04-11,23.0,96.0,23.0,96.0
2016-04-12,23.0,96.0,8.0,33.0
2016-04-13,24.0,100.0,14.0,58.0
2016-04-14,23.0,96.0,23.0,96.0
2016-04-15,24.0,100.0,23.0,96.0
2016-04-16,24.0,100.0,23.0,96.0
2016-04-17,23.0,96.0,23.0,96.0
2016-04-18,24.0,100.0,23.0,96.0
2016-04-19,24.0,100.0,23.0,96.0
2016-04-20,23.0,96.0,23.0,96.0
2016-04-21,23.0,96.0,23.0,96.0
2016-04-22,23.0,96.0,23.0,96.0
2016-04-23,23.0,96.0,23.0,96.0
2016-04-24,24.0,100.0,23.0,96.0
2016-04-25,22.0,92.0,22.0,92.0
2016-04-26,23.0,96.0,6.0,25.0
2016-04-27,19.0,79.0,14.0,58.0
2016-04-28,23.0,96.0,23.0,96.0
2016-04-29,23.0,96.0,23.0,96.0
2016-04-30,23.0,96.0,23.0,96.0
2016-05-01,24.0,100.0,23.0,96.0
2016-05-02,23.0,96.0,23.0,96.0
2016-05-03,24.0,100.0,23.0,96.0
2016-05-04,23.0,96.0,23.0,96.0
2016-05-05,23.0,96.0,23.0,96.0
2016-05-06,22.0,92.0,22.0,92.0
2016-05-07,24.0,100.0,23.0,96.0
2016-05-08,24.0,100.0,23.0,96.0
2016-05-09,23.0,96.0,23.0,96.0
2016-05-10,18.0,75.0,18.0,75.0
2016-05-11,24.0,100.0,23.0,96.0
2016-05-12,24.0,100.0,23.0,96.0
2016-05-13,24.0,100.0,23.0,96.0
2016-05-14,24.0,100.0,23.0,96.0
2016-05-15,23.0,96.0,23.0,96.0
2016-05-16,23.0,96.0,23.0,96.0
2016-05-17,23.0,96.0,22.0,92.0
2016-05-18,23.0,96.0,23.0,96.0
2016-05-19,23.0,96.0,23.0,96.0
2016-05-20,24.0,100.0,23.0,96.0
2016-05-21,24.0,100.0,23.0,96.0
2016-05-22,23.0,96.0,23.0,96.0
2016-05-23,22.0,92.0,22.0,92.0
2016-05-24,23.0,96.0,23.0,96.0
2016-05-25,23.0,96.0,23.0,96.0
2016-05-26,23.0,96.0,23.0,96.0
2016-05-27,24.0,100.0,23.0,96.0
2016-05-28,23.0,96.0,23.0,96.0
