date,dt,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id
2017-12-03,1512300600.0,-28800.0,37.774929,-122.419415,285.19,,281.495,284.21166666666664,284.49,285.855,1019.2083333333334,,,78.79166666666667,4.182083333333334,292.7083333333333,,0.35000000000000003,,,,47.916666666666664,763.9583333333334
2017-12-04,1512387000.0,-28800.0,37.774929,-122.419415,284.4025,,276.2991666666667,282.56416666666667,283.4866666666667,285.30125000000004,1021.875,,,59.208333333333336,4.585,237.875,,,,,,2.75,800.1666666666666
2017-12-05,1512473400.0,-28800.0,37.774929,-122.419415,286.35125,,274.77833333333336,284.93541666666664,285.49708333333336,287.29041666666666,1022.6666666666666,,,45.5,4.1775,59.708333333333336,,,,,,0.0,800.0
2017-12-06,1512559800.0,-28800.0,37.774929,-122.419415,283.8875,,277.93916666666667,282.71458333333334,282.7366666666667,285.12875,1024.375,,,68.29166666666667,2.5375,132.70833333333334,,,,,,0.0,800.0
2017-12-07,1512646200.0,-28800.0,37.774929,-122.419415,284.5495833333333,,276.88,282.865,283.2420833333333,285.82125,1026.625,,,59.791666666666664,3.7891666666666666,59.0,,,,,,5.208333333333333,800.25
2017-12-08,1512732600.0,-28800.0,37.774929,-122.419415,283.13666666666666,,277.825,281.9370833333333,281.83625,284.41833333333335,1029.5,,,70.875,2.4162500000000002,76.66666666666667,,,,,,90.95833333333333,803.7083333333334
2017-12-09,1512819000.0,-28800.0,37.774929,-122.419415,282.78249999999997,,277.42958333333337,281.02708333333334,281.67958333333337,284.0983333333333,1026.4166666666667,,,70.33333333333333,3.567083333333333,50.666666666666664,,,,,,92.25,803.8333333333334
2017-12-10,1512905400.0,-28800.0,37.774929,-122.419415,283.1454166666667,,276.87583333333333,281.1358333333333,282.00124999999997,284.56,1024.3333333333333,,,65.79166666666667,4.2924999999999995,59.583333333333336,,,,,,11.583333333333334,800.5833333333334
2017-12-11,1512991800.0,-28800.0,37.774929,-122.419415,283.7191666666667,,277.9025,281.87333333333333,282.4195833333333,285.11083333333335,1023.8333333333334,,,68.29166666666667,4.0687500000000005,64.45833333333333,,,,,,82.375,803.5
2017-12-12,1513078200.0,-28800.0,37.774929,-122.419415,282.7920833333333,,277.48875,281.28291666666667,281.73291666666665,283.96625,1025.625,,,70.91666666666667,2.5458333333333334,45.416666666666664,,,,,,36.041666666666664,801.75
2017-12-13,1513164600.0,-28800.0,37.774929,-122.419415,282.1725,,277.89125,280.9170833333333,281.0525,283.37083333333334,1021.2916666666666,,,75.91666666666667,1.8545833333333333,81.125,,,,,,18.291666666666668,800.8333333333334
